steady_time_s,event,nav_enabled,rl_init_done,dt_ms,exec_ms,sdk_imu_stamp_ms,sdk_imu_stamp_delta_ms,imu_pub_dt_ms,imu_header_stamp_ms,imu_header_delta_ms,rl_tick_ms,rl_infer_ms,rl_total_ms,vision_tick_ms,vision_process_ms,nav_tick_ms,nav_vision_ms,nav_high_ms,nav_reset_ms,nav_model_reset_ms,nav_obs_build_ms,nav_state_copy_ms,nav_tensor_create_ms,nav_cat_ms,nav_hist_reset_insert_ms,nav_hist_get_ms,nav_to_device_ms,nav_to_cpu_ms,nav_post_ms,nav_log_ms,nav_publish_ms,nav_total_ms,udp_get_state_ms,nav_obs_hist_reset_ms,nav_obs_io_hist_reset_ms,nav_hf_reset_ms,nav_obs_hist_insert_ms,nav_obs_io_hist_insert_ms,nav_hf_insert_ms
71.164574,control,0,0,4.900608,1.207232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.165378,udp_recv,0,0,1.984544,0.000704,2067789.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000096,nan,nan,nan,nan,nan,nan
71.167397,udp_recv,0,0,2.018144,0.000736,2067794.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000192,nan,nan,nan,nan,nan,nan
71.168610,imu_pub,0,0,5.106048,0.133088,2067794.000000,5.122240,5.106048,2045621.662752,5.122240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.169392,udp_recv,0,0,1.994624,0.001152,2067794.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000416,nan,nan,nan,nan,nan,nan
71.170798,control,0,0,5.097696,2.329600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.171416,udp_recv,0,0,2.023936,0.001344,2067799.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.173452,udp_recv,0,0,2.036384,0.000960,2067799.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.173598,imu_pub,0,0,4.988512,0.133248,2067799.000000,4.988768,4.988512,2045626.651520,4.988768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.175472,udp_recv,0,0,2.018528,0.001952,2067799.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000416,nan,nan,nan,nan,nan,nan
71.176147,control,0,0,4.990336,2.686400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.177396,udp_recv,0,0,1.925344,0.000928,2067804.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.178581,imu_pub,0,0,4.990752,0.124640,2067804.000000,4.988736,4.990752,2045631.640256,4.988736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.179392,udp_recv,0,0,1.995232,0.002176,2067804.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000416,nan,nan,nan,nan,nan,nan
71.180711,control,0,0,4.990432,2.260896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.181387,udp_recv,0,0,1.996192,0.000640,2067809.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000192,nan,nan,nan,nan,nan,nan
71.183374,udp_recv,0,0,1.986880,0.000704,2067809.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.183412,imu_pub,0,0,4.914560,0.043392,2067809.000000,4.900000,4.914560,2045636.540256,4.900000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.184239,control,0,0,4.921760,0.872864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.185378,udp_recv,0,0,2.004480,0.000640,2067809.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000128,nan,nan,nan,nan,nan,nan
71.187379,udp_recv,0,0,2.001120,0.000672,2067814.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000192,nan,nan,nan,nan,nan,nan
71.188658,imu_pub,0,0,5.150816,0.134976,2067814.000000,5.164256,5.150816,2045641.704512,5.164256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.189423,udp_recv,0,0,2.043200,0.000992,2067814.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000416,nan,nan,nan,nan,nan,nan
71.191050,control,0,0,5.140896,2.537088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.191393,udp_recv,0,0,1.969856,0.000800,2067814.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.193391,udp_recv,0,0,1.998112,0.000736,2067819.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000224,nan,nan,nan,nan,nan,nan
71.193594,imu_pub,0,0,4.945728,0.126816,2067819.000000,4.944832,4.945728,2045646.649344,4.944832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.195438,udp_recv,0,0,2.045984,0.001344,2067819.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000192,nan,nan,nan,nan,nan,nan
71.195882,control,0,0,4.946624,2.422080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.197378,udp_recv,0,0,1.942336,0.000576,2067824.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000096,nan,nan,nan,nan,nan,nan
71.198429,imu_pub,0,0,4.916096,0.047712,2067824.000000,4.903616,4.916096,2045651.552960,4.903616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
